,v001,v002,response,v4,v5,v14,v29,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
55,17.0,25.0,0,1400.0,2.0,1401.62,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,17.0,30.0,0,5000.0,1.0,5041.0,38.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,18.0,46.0,1,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,18.0,62.0,1,3100.0,2.0,3153.42,3.0,9.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,19.0,27.0,0,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,19.0,35.0,0,1000.0,1.0,0.98,13.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,23.0,34.0,0,1000.0,1.0,1000.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.0,24.0,0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6.0,37.0,0,7250.0,4.0,7604.3,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8.0,31.0,0,2500.0,2.0,2920.58,14.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,9.0,34.0,0,2228.22,2.0,2242.02,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9.0,30.0,0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,10.0,56.0,0,3456.54,1.0,3384.52,23.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12.0,41.0,0,,,,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,12.0,27.0,0,3800.0,2.0,3820.5,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14.0,48.0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15.0,36.0,0,500.0,1.0,500.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,16.0,29.0,0,,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,19.0,30.0,0,900.0,2.0,968.8,27.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,11.0,27.0,0,10344.24,2.0,9769.5,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,13.0,56.0,0,5000.0,1.0,5041.1,25.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,13.0,23.0,0,12262.27,5.0,12790.37,24.0,14.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,18.0,39.0,0,,,,36.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,21.0,31.0,1,500.0,1.0,527.7,2.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,23.0,20.0,0,350.0,1.0,350.0,9.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7.0,25.0,0,1000.0,1.0,1225.5,22.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,10.0,25.0,0,2517.16,2.0,2557.36,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,15.0,50.0,0,,,,,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,18.0,26.0,0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,19.0,46.0,1,2039.2,1.0,2039.2,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,11.0,38.0,0,3400.0,2.0,3618.67,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,11.0,29.0,1,600.0,1.0,721.39,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,19.0,32.0,1,4996.22,2.0,5360.17,6.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7.0,22.0,0,1200.0,1.0,1210.0,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,11.0,31.0,0,3600.0,2.0,3600.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,12.0,42.0,0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,13.0,46.0,0,1000.0,1.0,1000.0,5.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,14.0,28.0,0,,,,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,18.0,26.0,0,1000.0,1.0,500.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,21.0,25.0,0,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,22.0,29.0,0,,,,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,23.0,21.0,1,800.0,1.0,806.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,9.0,32.0,1,4950.0,1.0,5005.4,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10.0,59.0,1,,,,3.0,5.0,4.0,939326400.0,6473.0,1479106800.0,225.0,1486661652.0,Verified,291 Low,291.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,U
107,12.0,25.0,1,1800.0,1.0,1814.1,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,12.0,52.0,0,7645.08,4.0,6635.9,24.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,13.0,26.0,0,500.0,1.0,572.0,4.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,18.0,56.0,0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,21.0,28.0,0,9577.09,7.0,10402.98,44.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,31.0,0,2000.0,1.0,2000.0,9.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6.0,29.0,0,1000.0,1.0,1000.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8.0,35.0,1,13554.67,1.0,12646.95,5.0,3.0,3.0,939326400.0,6474.0,1498750961.0,0.0,1498750961.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,U
115,9.0,23.0,0,700.0,1.0,350.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,9.0,34.0,0,300.0,1.0,300.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,10.0,22.0,1,1800.0,2.0,1823.6,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,11.0,26.0,0,2023.0,3.0,2396.61,12.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,12.0,43.0,0,25737.51,6.0,25530.69,45.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,12.0,33.0,0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,14.0,62.0,0,11162.84,5.0,11042.26,17.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,14.0,51.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,14.0,23.0,0,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,16.0,37.0,0,4200.0,2.0,4200.0,10.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,16.0,35.0,0,10256.23,1.0,5290.2,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,17.0,25.0,0,500.0,1.0,500.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,18.0,26.0,1,630.0,1.0,753.48,14.0,58.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,21.0,41.0,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,21.0,42.0,0,27123.46,12.0,26887.43,63.0,111.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,21.0,43.0,0,2000.0,1.0,2000.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,22.0,24.0,0,1000.0,1.0,1000.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,8.0,22.0,1,1800.0,1.0,1813.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,11.0,26.0,0,3000.0,2.0,3000.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,14.0,29.0,0,1538.64,1.0,1538.64,13.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,15.0,28.0,0,3700.0,2.0,3833.9,14.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,15.0,73.0,0,,,,,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,18.0,38.0,0,1000.0,1.0,1008.2,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
